Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Belize	BLZ	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															29.39786096					28.98939457					29.48748203					25.88969106					21.02007611	21.73395175	25.3678794	24.42474339	25.46838109	20.36844828	20.18159894	
Bermuda	BMU	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															12.09212227					11.60110575					11.37369963					11.68553879					9.451374	9.605679215	9.558182271	9.103641236	9.08911908	10.328921	10.47401764	
Bolivia	BOL	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															27.8671278					28.77532469					30.23600956					39.79714353					28.61932141	30.3233561	27.0171889	27.79415398	28.38424935	22.26758233	22.04269225	
Brazil	BRA	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															14.78143706					15.40068374					16.16085249					13.77532918					10.964792	11.47912947	11.21168102	11.43926731	11.31905415	12.58115341	12.65285893	
Barbados	BRB	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															20.70238411					20.78314849					20.66667866					17.72717265					14.76971027	14.88203799	15.15376953	15.05994018	15.20428902	18.1492246	18.41481258	
Brunei Darussalam	BRN	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															5.888169582					5.881826992					5.701522245					7.399093272					6.380134763	6.228895064	6.210097584	6.176909898	5.656721403	6.372126446	6.429309073	
Bhutan	BTN	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															40.55445706					40.87579394					41.02429068					50.85166467					50.05939668	48.90238796	49.98335508	54.48027601	54.24117817	55.80654396	55.79888972	
Botswana	BWA	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															21.67256178					21.38159686					22.34221325					21.68500427					18.96893914	19.81301479	19.04939926	18.51785155	17.98942923	22.81560495	23.13720408	
Central African Republic	CAF	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															48.93787752					49.08014976					51.85082773					50.9857693					45.90694691	49.36839837	52.99072468	49.63058202	47.79015156	65.56322255	66.32023289	
Canada	CAN	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															7.915959359					7.729104398					7.772626334					8.064150373					7.267054292	7.338116721	7.30485743	7.273831212	7.206178542	7.514347762	7.525224482	
Central Europe and the Baltics	CEB	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															38.38242657					28.27177434					23.36300249					21.2040074					23.16027606	22.71361918	21.20218399	21.70679737	22.21148923	22.20034764	22.21984147	
Switzerland	CHE	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															13.24317313					12.06217612					11.20636913					10.91419228					11.00278236	11.09412731	11.17327887	12.0362583	12.33330312	10.60404505	10.51208667	
Channel Islands	CHI	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																																																										
Chile	CHL	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															20.62542136					21.23578211					21.95800791					22.87010588					21.31991697	21.37315064	21.52125386	21.16028508	21.12101701	21.94296815	21.9671149	
China	CHN	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															48.48392816					49.57727538					51.56758823					56.85092922					58.17330798	57.10767823	57.33880398	56.80755997	57.92738767	56.40226181	56.33014796	
Cote d'Ivoire	CIV	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															33.76968767					33.085762					32.34577539					27.73627142					28.64256306	31.94194344	33.10861058	28.93318658	26.27654966	55.25302391	57.77137282	
